NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
HERITAGE HALL NORTH NURSING HOME,55 COOPER ST,AGAWAM,MA,1001,2149.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120.0,,,,Healthcare
AGAWAM COUNCIL ON AGING SENIOR CENTER,68 MEADOWBROOK MNR,AGAWAM,MA,1001,3126.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CENTER FOR EXTENDED CARE-AMHERST,150 UNIVERSITY DR,AMHERST,MA,1002,2232.0,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0,,,,Healthcare
HAMPSHIRE COLLEGE,893 WEST ST,AMHERST,MA,1002,3372.0,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,,Educational Instituions
UNIVERSITY OF MASSACHUSETTS,168 WHITMORE,AMHERST,MA,1003,,25015,HAMPSHIRE,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PUBLIC,>2000,,,,,Educational Instituions
CENTER FOR LANG-SPEECH-HEAR-UNIV OF MA,715 N PLEASANT ST,AMHERST,MA,1003,9304.0,25015,HAMPSHIRE,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
QUABBIN REGIONAL SCHOOL DISTRICT,872 SOUTH ST,BARRE,MA,1005,8906.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
BELCHERTOWN PUBLIC SCHOOLS,PO BOX 841,BELCHERTOWN,MA,1007,841.0,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
BELCHERTOWN SENIOR CENTER,60 STATE ST,BELCHERTOWN,MA,1007,9494.0,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BRIMFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 172,BRIMFIELD,MA,1010,172.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
