NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales,Market_Category
AZON LIQUORS,AGAWAM,MA,1001,1530.0,25013.0,HAMPDEN,1122.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Beverage
CUSTOM WINE ONLINE LLC,COVINGTON,KY,41011,2487.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000",Beverage
BP,COVINGTON,KY,41011,1441.0,21117.0,KENTON,1642.0,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Beverage
DICK'S WINES & LIQUORS,COVINGTON,KY,41011,1528.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Beverage
END OF LINE BEVERAGE,FT WRIGHT,KY,41011,2602.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Beverage
EUROPA FOODS,COVINGTON,KY,41011,5004.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Grocery
FAMILY GROCERY,COVINGTON,KY,41011,2067.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
GREENUP MARKET,COVINGTON,KY,41011,3287.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Grocery
HERINGER MEATS INC,COVINGTON,KY,41011,2302.0,21117.0,KENTON,1642.0,MEAT MARKET,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Food
HILL TOP MARKET,COVINGTON,KY,41011,3910.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Grocery
I-75 PACKAGED LIQUORS,COVINGTON,KY,41011,1007.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Beverage
JOHNNY'S FOOD MART,COVINGTON,KY,41011,1252.0,21117.0,KENTON,1642.0,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Grocery
JONES GROCERY,COVINGTON,KY,41011,3456.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Grocery
KROGER,COVINGTON,KY,41011,3315.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
LIQUOR DIRECT,COVINGTON,KY,41011,1204.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Beverage
LOSCHIAVO'S PRODUCE-DELI,PARK HILLS,KY,41011,2852.0,21117.0,KENTON,1642.0,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Food
MAIN STREET MARKET,COVINGTON,KY,41011,1496.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000",Grocery
WINE SELLER LLC,VERNON ROCKVILLE,CT,6066,4551.0,9013.0,TOLLAND,3280.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Beverage
MARIAN'S MINI MART,COVINGTON,KY,41011,3449.0,21117.0,KENTON,1642.0,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED,Grocery
WILDCAT GROCERY & VIDEO,FLATGAP,KY,41219,9067.0,21115.0,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Grocery
PONY KEG EXPRESS,COVINGTON,KY,41011,1002.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000",Beverage
YOUNGS ORIENTAL GROCERY,VERNON ROCKVILLE,CT,6066,4738.0,9013.0,TOLLAND,3280.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
COLLISTA GROCERY,HAGERHILL,KY,41222,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
COUNTRY ROAD MART,HAGERHILL,KY,41222,8917.0,21115.0,JOHNSON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Grocery
DAVIS PRODUCE,HAGERHILL,KY,41222,8663.0,21115.0,JOHNSON,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Food
TIENDA MORALES,COVINGTON,KY,41011,3111.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Grocery
SAVE ON CIGS,COVINGTON,KY,41011,1204.0,21117.0,KENTON,1642.0,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Grocery
SAVE-A-LOT,COVINGTON,KY,41011,3330.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
STADIUM LIQUOR STORE,COVINGTON,KY,41011,1307.0,21117.0,KENTON,1642.0,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000",Beverage
ALDI,ROCKY HILL,CT,6067,1305.0,9003.0,HARTFORD,3280.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000",Grocery
SUPERVALU,COVINGTON,KY,41011,3318.0,21117.0,KENTON,1642.0,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000",Grocery
INEZ PUMP N SHOP,INEZ,KY,41224,,21159.0,MARTIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
INEZ SUPER MARKET,INEZ,KY,41224,,21159.0,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000",Grocery
